#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DLL1	FRMD1	9796.ENSECAP00000012173	9796.ENSECAP00000008350	0	0	0	0	0	0	0	0.403	0.403
DYNLT1	RGS17	9796.ENSECAP00000024261	9796.ENSECAP00000019695	0	0	0	0	0	0	0.508	0	0.508
DYNLT1	KATNA1	9796.ENSECAP00000024261	9796.ENSECAP00000035732	0	0	0	0	0	0	0.790	0	0.790
EPM2A	FBXO30	9796.ENSECAP00000015264	9796.ENSECAP00000014616	0	0	0	0	0	0	0	0.644	0.644
FBXO30	EPM2A	9796.ENSECAP00000014616	9796.ENSECAP00000015264	0	0	0	0	0	0	0	0.644	0.644
FBXO5	PPP1R14C	9796.ENSECAP00000009446	9796.ENSECAP00000038583	0	0	0	0	0	0	0	0.502	0.502
FRMD1	KIF25	9796.ENSECAP00000008350	9796.ENSECAP00000006942	0	0	0	0	0	0	0	0.708	0.708
FRMD1	DLL1	9796.ENSECAP00000008350	9796.ENSECAP00000012173	0	0	0	0	0	0	0	0.403	0.403
FRMD1	WDR27	9796.ENSECAP00000008350	9796.ENSECAP00000026374	0	0	0	0	0	0	0	0.786	0.786
HIVEP2	IGF2R	9796.ENSECAP00000037414	9796.ENSECAP00000035820	0	0	0	0	0.174	0	0	0.310	0.406
IGF2R	HIVEP2	9796.ENSECAP00000035820	9796.ENSECAP00000037414	0	0	0	0	0.174	0	0	0.310	0.406
KATNA1	MTRF1L	9796.ENSECAP00000035732	9796.ENSECAP00000002523	0	0	0	0	0.189	0	0	0.490	0.569
KATNA1	DYNLT1	9796.ENSECAP00000035732	9796.ENSECAP00000024261	0	0	0	0	0	0	0.790	0	0.790
KATNA1	PPP1R14C	9796.ENSECAP00000035732	9796.ENSECAP00000038583	0	0	0	0	0	0	0	0.465	0.465
KIF25	FRMD1	9796.ENSECAP00000006942	9796.ENSECAP00000008350	0	0	0	0	0	0	0	0.708	0.708
LRP11	PPP1R14C	9796.ENSECAP00000023058	9796.ENSECAP00000038583	0	0	0	0	0.270	0	0	0.744	0.805
MTRF1L	KATNA1	9796.ENSECAP00000002523	9796.ENSECAP00000035732	0	0	0	0	0.189	0	0	0.490	0.569
PACRG	PDE10A	9796.ENSECAP00000045039	9796.ENSECAP00000006845	0	0	0	0	0.173	0	0	0.412	0.493
PACRG	RSPH3	9796.ENSECAP00000045039	9796.ENSECAP00000012030	0	0	0	0	0	0	0	0.537	0.537
PACRG	PDCD2	9796.ENSECAP00000045039	9796.ENSECAP00000014455	0	0	0	0	0	0	0	0.437	0.437
PACRG	WDR27	9796.ENSECAP00000045039	9796.ENSECAP00000026374	0	0	0	0	0	0	0	0.572	0.572
PACRG	PRKN	9796.ENSECAP00000045039	9796.ENSECAP00000054587	0	0	0	0	0.286	0.422	0	0.789	0.905
PDCD2	WDR27	9796.ENSECAP00000014455	9796.ENSECAP00000026374	0	0	0	0	0	0	0	0.746	0.746
PDCD2	PACRG	9796.ENSECAP00000014455	9796.ENSECAP00000045039	0	0	0	0	0	0	0	0.437	0.437
PDCD2	PRKN	9796.ENSECAP00000014455	9796.ENSECAP00000054587	0	0	0	0	0	0.422	0	0.428	0.655
PDE10A	WDR27	9796.ENSECAP00000006845	9796.ENSECAP00000026374	0	0	0	0	0	0	0	0.569	0.569
PDE10A	PACRG	9796.ENSECAP00000006845	9796.ENSECAP00000045039	0	0	0	0	0.173	0	0	0.412	0.493
PPP1R14C	FBXO5	9796.ENSECAP00000038583	9796.ENSECAP00000009446	0	0	0	0	0	0	0	0.502	0.502
PPP1R14C	RGS17	9796.ENSECAP00000038583	9796.ENSECAP00000019695	0	0	0	0	0.148	0	0	0.443	0.505
PPP1R14C	LRP11	9796.ENSECAP00000038583	9796.ENSECAP00000023058	0	0	0	0	0.270	0	0	0.744	0.805
PPP1R14C	KATNA1	9796.ENSECAP00000038583	9796.ENSECAP00000035732	0	0	0	0	0	0	0	0.465	0.465
PRKN	SOD2	9796.ENSECAP00000054587	9796.ENSECAP00000009823	0	0	0	0	0	0.368	0	0.210	0.479
PRKN	PDCD2	9796.ENSECAP00000054587	9796.ENSECAP00000014455	0	0	0	0	0	0.422	0	0.428	0.655
PRKN	PACRG	9796.ENSECAP00000054587	9796.ENSECAP00000045039	0	0	0	0	0.286	0.422	0	0.789	0.905
RGS17	DYNLT1	9796.ENSECAP00000019695	9796.ENSECAP00000024261	0	0	0	0	0	0	0.508	0	0.508
RGS17	PPP1R14C	9796.ENSECAP00000019695	9796.ENSECAP00000038583	0	0	0	0	0.148	0	0	0.443	0.505
RSPH3	TAGAP	9796.ENSECAP00000012030	9796.ENSECAP00000041908	0	0	0	0	0	0	0	0.543	0.543
RSPH3	PACRG	9796.ENSECAP00000012030	9796.ENSECAP00000045039	0	0	0	0	0	0	0	0.537	0.537
SOD2	PRKN	9796.ENSECAP00000009823	9796.ENSECAP00000054587	0	0	0	0	0	0.368	0	0.210	0.479
TAGAP	RSPH3	9796.ENSECAP00000041908	9796.ENSECAP00000012030	0	0	0	0	0	0	0	0.543	0.543
WDR27	PDE10A	9796.ENSECAP00000026374	9796.ENSECAP00000006845	0	0	0	0	0	0	0	0.569	0.569
WDR27	FRMD1	9796.ENSECAP00000026374	9796.ENSECAP00000008350	0	0	0	0	0	0	0	0.786	0.786
WDR27	PDCD2	9796.ENSECAP00000026374	9796.ENSECAP00000014455	0	0	0	0	0	0	0	0.746	0.746
WDR27	PACRG	9796.ENSECAP00000026374	9796.ENSECAP00000045039	0	0	0	0	0	0	0	0.572	0.572
